event_id;simID;index;Zone Air CO2 Concentration;Zone Mean Air Temperature;Zone Air Relative Humidity;Occupancy;Ventilation;BinaryOccupancy;Datetime;maxOccupants;_volume;presence_shift;event_start;presence_analysis;start_time;end_time;start_co2;end_co2;measurement_decay_constant
0;54;124;500.72;18.0;34.1;0.0;0.0;0;11/04  02:05:00;1.0;63.07;0;0;Ignore;;;;;
0;54;125;500.69;18.0;34.12;0.0;0.0;0;11/04  02:06:00;1.0;63.07;0;0;Ignore;;;;;
0;54;126;500.67;18.0;34.15;0.0;0.0;0;11/04  02:07:00;1.0;63.07;0;0;Ignore;;;;;
0;54;127;500.64;18.0;34.17;0.0;0.0;0;11/04  02:08:00;1.0;63.07;0;0;Ignore;;;;;
0;54;128;500.61;18.0;34.19;0.0;0.0;0;11/04  02:09:00;1.0;63.07;0;0;Ignore;;;;;
0;54;129;500.59;18.0;34.22;0.0;0.0;0;11/04  02:10:00;1.0;63.07;0;0;Ignore;;;;;
0;54;130;500.56;18.0;34.24;0.0;0.0;0;11/04  02:11:00;1.0;63.07;0;0;Ignore;;;;;
0;54;131;500.54;18.0;34.26;0.0;0.0;0;11/04  02:12:00;1.0;63.07;0;0;Ignore;;;;;
0;54;132;500.52;18.0;34.28;0.0;0.0;0;11/04  02:13:00;1.0;63.07;0;0;Ignore;;;;;
0;54;133;500.49;18.0;34.3;0.0;0.0;0;11/04  02:14:00;1.0;63.07;0;0;Ignore;;;;;
0;54;134;500.47;18.0;34.33;0.0;0.0;0;11/04  02:15:00;1.0;63.07;0;0;Ignore;;;;;
0;54;135;500.44;18.0;34.35;0.0;0.0;0;11/04  02:16:00;1.0;63.07;0;0;Ignore;;;;;
0;54;136;500.42;18.0;34.37;0.0;0.0;0;11/04  02:17:00;1.0;63.07;0;0;Ignore;;;;;
0;54;137;500.4;18.0;34.39;0.0;0.0;0;11/04  02:18:00;1.0;63.07;0;0;Ignore;;;;;
0;54;138;500.37;18.0;34.41;0.0;0.0;0;11/04  02:19:00;1.0;63.07;0;0;Ignore;;;;;
0;54;139;500.35;18.0;34.43;0.0;0.0;0;11/04  02:20:00;1.0;63.07;0;0;Ignore;;;;;
0;54;140;500.33;18.0;34.45;0.0;0.0;0;11/04  02:21:00;1.0;63.07;0;0;Ignore;;;;;
0;54;141;500.31;18.0;34.47;0.0;0.0;0;11/04  02:22:00;1.0;63.07;0;0;Ignore;;;;;
0;54;142;500.28;18.0;34.48;0.0;0.0;0;11/04  02:23:00;1.0;63.07;0;0;Ignore;;;;;
0;54;143;500.26;18.0;34.5;0.0;0.0;0;11/04  02:24:00;1.0;63.07;0;0;Ignore;;;;;
0;54;144;500.24;18.0;34.52;0.0;0.0;0;11/04  02:25:00;1.0;63.07;0;0;Ignore;;;;;
0;54;145;500.22;18.0;34.54;0.0;0.0;0;11/04  02:26:00;1.0;63.07;0;0;Ignore;;;;;
0;54;146;500.2;18.0;34.56;0.0;0.0;0;11/04  02:27:00;1.0;63.07;0;0;Ignore;;;;;
0;54;147;500.18;18.0;34.57;0.0;0.0;0;11/04  02:28:00;1.0;63.07;0;0;Ignore;;;;;
0;54;148;500.15;18.0;34.59;0.0;0.0;0;11/04  02:29:00;1.0;63.07;0;0;Ignore;;;;;
0;54;149;500.13;18.0;34.61;0.0;0.0;0;11/04  02:30:00;1.0;63.07;0;0;Ignore;;;;;
0;54;150;500.11;18.0;34.62;0.0;0.0;0;11/04  02:31:00;1.0;63.07;0;0;Ignore;;;;;
0;54;151;500.09;18.0;34.64;0.0;0.0;0;11/04  02:32:00;1.0;63.07;0;0;Ignore;;;;;
0;54;152;500.07;18.0;34.66;0.0;0.0;0;11/04  02:33:00;1.0;63.07;0;0;Ignore;;;;;
0;54;153;500.05;18.0;34.67;0.0;0.0;0;11/04  02:34:00;1.0;63.07;0;0;Ignore;;;;;
0;54;154;500.03;18.0;34.69;0.0;0.0;0;11/04  02:35:00;1.0;63.07;0;0;Ignore;;;;;
0;54;155;500.01;18.0;34.7;0.0;0.0;0;11/04  02:36:00;1.0;63.07;0;0;Ignore;;;;;
0;54;156;499.99;18.0;34.72;0.0;0.0;0;11/04  02:37:00;1.0;63.07;0;0;Ignore;;;;;
0;54;157;499.98;18.0;34.73;0.0;0.0;0;11/04  02:38:00;1.0;63.07;0;0;Ignore;;;;;
0;54;158;499.96;18.0;34.75;0.0;0.0;0;11/04  02:39:00;1.0;63.07;0;0;Ignore;;;;;
0;54;159;499.94;18.0;34.76;0.0;0.0;0;11/04  02:40:00;1.0;63.07;0;0;Ignore;;;;;
0;54;160;499.92;18.0;34.78;0.0;0.0;0;11/04  02:41:00;1.0;63.07;0;0;Ignore;;;;;
0;54;161;499.9;18.0;34.79;0.0;0.0;0;11/04  02:42:00;1.0;63.07;0;0;Ignore;;;;;
0;54;162;499.88;18.0;34.8;0.0;0.0;0;11/04  02:43:00;1.0;63.07;0;0;Ignore;;;;;
0;54;163;499.86;18.0;34.82;0.0;0.0;0;11/04  02:44:00;1.0;63.07;0;0;Ignore;;;;;
0;54;164;499.85;18.0;34.83;0.0;0.0;0;11/04  02:45:00;1.0;63.07;0;0;Ignore;;;;;
0;54;165;499.83;18.0;34.84;0.0;0.0;0;11/04  02:46:00;1.0;63.07;0;0;Ignore;;;;;
0;54;166;499.81;18.0;34.86;0.0;0.0;0;11/04  02:47:00;1.0;63.07;0;0;Ignore;;;;;
0;54;167;499.79;18.0;34.87;0.0;0.0;0;11/04  02:48:00;1.0;63.07;0;0;Ignore;;;;;
0;54;168;499.78;18.0;34.88;0.0;0.0;0;11/04  02:49:00;1.0;63.07;0;0;Ignore;;;;;
0;54;169;499.76;18.0;34.89;0.0;0.0;0;11/04  02:50:00;1.0;63.07;0;0;Ignore;;;;;
0;54;170;499.74;18.0;34.9;0.0;0.0;0;11/04  02:51:00;1.0;63.07;0;0;Ignore;;;;;
0;54;171;499.73;18.0;34.92;0.0;0.0;0;11/04  02:52:00;1.0;63.07;0;0;Ignore;;;;;
