temperature,humidity,ventilation rate,volume,CO2_variance,features,scaledFeatures,prediction
21.0,32.07,0.0,70.51,13.416200000000035,[21.     32.07    0.     70.51   13.4162],[-0.94529996 -0.62420254 -0.04311306  0.64044064  2.7537712 ],2
21.0,32.1,0.0,63.07,1.3122000000000995,[21.     32.1     0.     63.07    1.3122],[-0.94529996 -0.62214595 -0.04311306 -0.48025223 -0.20248783],0
21.0,32.22,0.0,58.72,1.2324499999999001,[21.      32.22     0.      58.72     1.23245],[-0.94529996 -0.61391961 -0.04311306 -1.13549604 -0.22196582],0
21.0,32.24,0.0,70.51,12.11043333333346,[21.         32.24        0.         70.51       12.11043333],[-0.94529996 -0.61254855 -0.04311306  0.64044064  2.43485312],2
21.0,32.3,0.0,70.51,3.0258000000000895,[21.     32.3     0.     70.51    3.0258],[-0.94529996 -0.60843538 -0.04311306  0.64044064  0.21603873],0
21.0,32.33,0.0,70.51,2.8560500000001032,[21.      32.33     0.      70.51     2.85605],[-0.94529996 -0.60637879 -0.04311306  0.64044064  0.1745793 ],0
21.0,32.34,0.0,58.72,0.6962000000000751,[21.     32.34    0.     58.72    0.6962],[-0.94529996 -0.60569326 -0.04311306 -1.13549604 -0.35293855],0
21.0,32.37,0.0,70.51,9.72405000000011,[21.      32.37     0.      70.51     9.72405],[-0.94529996 -0.60363667 -0.04311306  0.64044064  1.85200717],2
21.0,32.39,0.0,70.51,2.599199999999938,[21.     32.39    0.     70.51    2.5992],[-0.94529996 -0.60226562 -0.04311306  0.64044064  0.11184672],0
21.0,32.43,0.0,70.51,0.4512500000000432,[21.      32.43     0.      70.51     0.45125],[-0.94529996 -0.5995235  -0.04311306  0.64044064 -0.41276469],0
21.0,32.46,0.0,70.51,0.2520500000000258,[21.      32.46     0.      70.51     0.25205],[-0.94529996 -0.59746692 -0.04311306  0.64044064 -0.46141694],0
21.0,33.23,0.0,62.12,1.3004333333333722,[21.         33.23        0.         62.12        1.30043333],[-0.94529996 -0.5446812  -0.04311306 -0.62335145 -0.2053617 ],0
21.0,33.28,0.0,62.12,0.3698000000001095,[21.     33.28    0.     62.12    0.3698],[-0.94529996 -0.54125356 -0.04311306 -0.62335145 -0.43265789],0
21.0,33.3,0.0,62.12,3.4833583333332236,[21.         33.3         0.         62.12        3.48335833],[-0.94529996 -0.5398825  -0.04311306 -0.62335145  0.32779195],0
21.0,33.75,0.0,58.72,14.151200000000266,[21.     33.75    0.     58.72   14.1512],[-0.94529996 -0.50903371 -0.04311306 -1.13549604  2.93328627],2
21.0,33.79,0.0,58.72,7.03125,[21.      33.79     0.      58.72     7.03125],[-0.94529996 -0.50629159 -0.04311306 -1.13549604  1.19432258],2
21.0,33.83,0.0,58.72,2.464199999999556,[21.     33.83    0.     58.72    2.4642],[-0.94529996 -0.50354948 -0.04311306 -1.13549604  0.07887457],0
21.0,34.11,0.0,62.12,0.018050000000010367,[2.100e+01 3.411e+01 0.000e+00 6.212e+01 1.805e-02],[-0.94529996 -0.48435467 -0.04311306 -0.62335145 -0.51856868],0
21.0,34.12,0.0,62.12,0.013333333333326133,"[2.10000000e+01 3.41200000e+01 0.00000000e+00 6.21200000e+01
 1.33333333e-02]",[-0.94529996 -0.48366914 -0.04311306 -0.62335145 -0.51972067],0
21.0,34.18,0.0,62.12,1.9404500000000537,[21.      34.18     0.      62.12     1.94045],[-0.94529996 -0.47955597 -0.04311306 -0.62335145 -0.04904519],0
21.0,34.27,0.0,62.12,2.0808000000000417,[21.     34.27    0.     62.12    2.0808],[-0.94529996 -0.47338621 -0.04311306 -0.62335145 -0.01476636],0
21.0,34.46,0.0,63.07,1.2324499999999894,[21.      34.46     0.      63.07     1.23245],[-0.94529996 -0.46036117 -0.04311306 -0.48025223 -0.22196582],0
