temperature,humidity,ventilation rate,volume,CO2_variance
21.0,42.02,0.0,70.51,15.456800000000328
21.0,42.18,0.0,73.73,1.824049999999939
21.0,42.24,0.0,70.51,4.410450000000418
21.0,42.37,0.0,70.51,18.666050000000777
21.0,42.39,0.0,70.51,12.700799999999816
21.0,42.41,0.0,70.51,7.683200000000285
21.0,42.44,0.0,70.51,3.6992000000003835
21.0,42.46,0.0,70.51,1.1858000000004691
21.0,42.48,0.0,70.51,0.2737999999999226
21.0,45.05,0.7,70.09,5.579999999999839
21.0,51.62,0.0,73.73,1.4620500000000622
21.0,52.26,0.0,73.73,1.9404499999998297
21.0,53.83,0.0,73.73,1.548799999999784
21.05,33.06,0.0,68.56,0.7080500000000649
21.05,36.86,0.0,58.72,1.7672000000000982
21.07,36.88,0.0,58.72,1.6927999999998493
21.09,27.9,0.0,58.72,0.8449999999999409
21.09,30.17,0.0,70.51,0.42319999999991004
21.42,30.57,0.0,70.51,0.1677299999999857
21.43,30.55,0.0,70.51,0.03644999999999509
21.43,30.56,0.0,70.51,0.03645000000001044
21.44,30.54,0.0,70.51,0.03920000000000828
21.45,30.53,0.0,70.51,0.08409999999998714
21.46,30.52,0.0,70.51,0.04204999999998945
21.59,44.93,0.0,68.56,1.3121999999998233
21.7,37.52,0.0,55.49,0.40499999999992836
21.75,50.23,0.0,72.66,1.296050000000205
21.76,50.23,0.0,72.66,1.296050000000205
21.78,50.23,0.0,72.66,1.2800000000000364
21.79,50.22,0.0,72.66,1.2640500000002313
21.81,50.22,0.0,72.66,1.2640500000002313
21.82,50.22,0.0,72.66,1.264049999999689
21.84,50.22,0.0,72.66,1.248199999999885
21.85,50.57,0.0,72.66,1.9208000000000713
21.87,37.63,0.0,55.49,0.3528000000000745
21.87,50.23,0.0,72.66,1.2324499999997216
